transaction_id,account_id,transaction_type,amount,transaction_date,method
1,1117,Transfer,189828.37,18-05-2024 08:54,NEFT
2,480,Deposit,68423.05,02-01-2024 21:07,Cash
3,1069,Transfer,27538.41,14-12-2023 06:42,Cash
4,740,Transfer,192125.08,27-10-2023 19:58,NEFT
5,1308,Withdrawal,48148.13,08-08-2024 15:27,NEFT
6,1150,Withdrawal,194110.38,30-06-2024 16:51,IMPS
7,143,Withdrawal,108492.53,14-11-2023 15:54,NEFT
8,737,Transfer,27801.45,31-07-2025 11:51,NEFT
9,1068,Deposit,61868.78,29-10-2023 01:44,NEFT
10,1329,Withdrawal,199137.59,10-06-2025 05:32,NEFT
11,636,Transfer,186612.69,10-10-2023 07:06,NEFT
12,1375,Withdrawal,13656.03,09-05-2024 15:59,UPI
13,439,Deposit,63587.76,10-07-2025 06:19,NEFT
14,1350,Transfer,5993.72,27-07-2024 00:20,IMPS
15,1101,Withdrawal,192243.12,25-09-2023 15:25,IMPS
16,974,Withdrawal,149147.39,14-11-2023 02:42,IMPS
17,847,Deposit,155843.67,03-10-2023 10:37,UPI
18,1357,Deposit,37030.82,24-01-2025 16:42,IMPS
19,789,Transfer,113451.91,08-05-2024 03:58,NEFT
20,626,Transfer,46513.29,18-12-2023 23:30,UPI
21,1447,Withdrawal,15987.14,25-02-2024 21:58,Cash
22,1076,Deposit,100514.69,27-12-2023 20:39,Cash
23,171,Transfer,129948.75,24-03-2024 04:56,NEFT
24,720,Withdrawal,98339.97,11-06-2024 06:55,NEFT
25,922,Deposit,38732.64,04-07-2024 17:07,UPI
26,110,Withdrawal,152931.32,09-06-2024 12:36,UPI
27,224,Withdrawal,190044.59,24-04-2025 22:41,NEFT
28,1484,Transfer,134300.68,11-09-2024 16:59,NEFT
29,1290,Deposit,13320.65,10-12-2024 19:34,Cash
30,731,Transfer,98039.59,16-05-2024 20:06,IMPS
31,552,Withdrawal,177528.62,05-01-2024 13:25,Cash
32,868,Withdrawal,155265.32,30-10-2023 21:22,Cash
33,367,Transfer,62648.21,05-04-2025 22:57,UPI
34,50,Transfer,21952.33,25-09-2024 00:34,Cash
35,215,Deposit,175568.21,06-05-2025 07:36,NEFT
36,1260,Transfer,107620.04,16-01-2024 02:37,UPI
37,1048,Transfer,77540.83,08-03-2025 21:39,UPI
38,688,Deposit,58306.75,06-03-2025 01:11,Cash
39,560,Withdrawal,154758.03,01-01-2024 11:27,IMPS
40,614,Withdrawal,33380.67,04-03-2025 12:56,IMPS
41,351,Transfer,183814.66,22-03-2024 08:22,NEFT
42,588,Withdrawal,165995.71,30-12-2024 16:15,Cash
43,338,Deposit,144557.09,27-06-2024 16:29,UPI
44,684,Deposit,155768.36,17-08-2024 21:22,NEFT
45,1360,Withdrawal,82770.51,02-05-2025 13:46,Cash
46,789,Deposit,35857.83,23-07-2025 14:23,NEFT
47,1357,Withdrawal,18126.91,14-03-2025 23:21,IMPS
48,558,Transfer,129750.43,18-09-2024 17:28,NEFT
49,324,Transfer,146679.14,03-01-2024 11:26,UPI
50,1345,Deposit,141274.72,15-02-2025 09:21,IMPS
51,187,Deposit,104811.08,29-11-2023 05:18,Cash
52,831,Transfer,158234.21,08-10-2024 01:03,NEFT
53,1068,Withdrawal,110114.14,13-07-2024 13:22,UPI
54,1232,Deposit,182459.33,02-06-2025 13:23,NEFT
55,1057,Deposit,173776.83,22-05-2025 20:00,NEFT
56,1480,Transfer,10356.97,22-11-2023 17:59,IMPS
57,427,Withdrawal,146059.33,29-03-2025 04:56,Cash
58,211,Withdrawal,125327.92,03-11-2024 03:39,UPI
59,1069,Deposit,192090.73,07-06-2025 02:00,UPI
60,456,Transfer,153102.62,09-05-2025 18:15,UPI
61,1159,Withdrawal,99575.76,02-01-2025 02:18,Cash
62,833,Transfer,161510.17,16-08-2025 08:45,Cash
63,722,Deposit,43453.08,05-05-2025 06:43,Cash
64,11,Withdrawal,82089.26,01-12-2024 13:19,UPI
65,54,Transfer,120060.41,19-12-2024 05:27,NEFT
66,1430,Transfer,55694.78,27-11-2024 16:22,NEFT
67,369,Deposit,37049.51,14-10-2024 00:31,UPI
68,491,Transfer,69869.06,01-04-2025 17:36,NEFT
69,718,Deposit,133432.61,27-11-2024 05:22,IMPS
70,190,Withdrawal,184084.9,28-08-2025 00:23,UPI
